state,rank,town,water_body,waterfront_type,tier
Texas,16,Kerrville,Guadalupe River,river,2
Texas,17,Canyon Lake,Canyon Lake,reservoir,2
Texas,18,Graford,Possum Kingdom Lake,reservoir,2
Texas,19,Horseshoe Bay,Lake LBJ,reservoir,2
Texas,20,Port Isabel,Laguna Madre,bay,2
Texas,21,Fulton,Aransas Bay,bay,2
Texas,22,Denison,Lake Texoma,reservoir,2
Texas,23,Crystal Beach,Gulf of Mexico,gulf,2
Texas,24,Port O'Connor,Matagorda Bay,bay,2
Texas,25,Bandera,Medina River,river,2
Oklahoma,1,Hochatown,Broken Bow Lake,reservoir,1
Oklahoma,2,Broken Bow,Mountain Fork River,river,2
Oklahoma,3,Medicine Park,Medicine Creek,river,2
Oklahoma,4,Grove,Grand Lake o' the Cherokees,reservoir,2
Oklahoma,5,Tahlequah,Illinois River,river,2
Oklahoma,6,Sulphur,Lake of the Arbuckles,reservoir,2
Oklahoma,7,Davis,Honey Creek,river,2
Oklahoma,8,Ardmore,Lake Murray,reservoir,2
Oklahoma,9,Kingston,Lake Texoma,reservoir,2
Oklahoma,10,Eufaula,Lake Eufaula,reservoir,2
Oklahoma,11,Tulsa,Arkansas River,river,2
Oklahoma,12,Oklahoma City,Oklahoma River,river,2
Oklahoma,13,Jenks,Arkansas River,river,2
Oklahoma,14,Langley,Grand Lake o' the Cherokees,reservoir,3
Oklahoma,15,Disney,Grand Lake o' the Cherokees,reservoir,3
Oklahoma,16,Gore,Lake Tenkiller,reservoir,3
Oklahoma,17,Durant,Lake Texoma,reservoir,3
Oklahoma,18,Lawton,Lake Lawtonka,reservoir,3
Oklahoma,19,Mannford,Keystone Lake,reservoir,3
Oklahoma,20,Sand Springs,Keystone Lake,reservoir,3
Oklahoma,21,Ponca City,Kaw Lake,reservoir,3
Oklahoma,22,Fort Gibson,Fort Gibson Lake,reservoir,3
Oklahoma,23,Wagoner,Fort Gibson Lake,reservoir,3
Oklahoma,24,Norman,Lake Thunderbird,reservoir,3
Oklahoma,25,Watonga,Roman Nose State Park Lakes,lake,3
Arkansas,1,Hot Springs,Lake Hamilton,reservoir,1
Arkansas,2,Eureka Springs,Beaver Lake,reservoir,2
Arkansas,3,Mountain Home,Norfork Lake,reservoir,2
Arkansas,4,Heber Springs,Greers Ferry Lake,reservoir,2
Arkansas,5,Bull Shoals,Bull Shoals Lake,reservoir,2
Arkansas,6,Cotter,White River,river,2
Arkansas,7,Calico Rock,White River,river,2
Arkansas,8,Mountain View,White River,river,2
Arkansas,9,Jasper,Buffalo National River,river,2
Arkansas,10,Ponca,Buffalo National River,river,2
Arkansas,11,Mount Ida,Lake Ouachita,reservoir,2
Arkansas,12,Hot Springs Village,Lake Balboa,reservoir,2
Arkansas,13,Rogers,Beaver Lake,reservoir,2
Arkansas,14,Siloam Springs,Illinois River,river,2
Arkansas,15,Little Rock,Arkansas River,river,2
Arkansas,16,Fairfield Bay,Greers Ferry Lake,reservoir,3
Arkansas,17,Greers Ferry,Greers Ferry Lake,reservoir,3
Arkansas,18,Norfork,North Fork River,river,3
Arkansas,19,Flippin,White River,river,3
Arkansas,20,Lakeview,Bull Shoals Lake,reservoir,3
Arkansas,21,Gilbert,Buffalo National River,river,3
Arkansas,22,Batesville,White River,river,3
Arkansas,23,Russellville,Lake Dardanelle,reservoir,3
Arkansas,24,Arkadelphia,DeGray Lake,reservoir,3
Arkansas,25,Lake Village,Lake Chicot,lake,3
Tennessee,1,Chattanooga,Tennessee River,river,1
Tennessee,2,Gatlinburg,Little Pigeon River,river,1
Tennessee,3,Townsend,Little River,river,1
Tennessee,4,Dandridge,Douglas Lake,reservoir,2
Tennessee,5,Knoxville,Tennessee River,river,2
Tennessee,6,Pigeon Forge,Little Pigeon River,river,2
Tennessee,7,Paris,Kentucky Lake,reservoir,2
Tennessee,8,Dover,Lake Barkley,reservoir,2
Tennessee,9,Smithville,Center Hill Lake,reservoir,2
Tennessee,10,Winchester,Tims Ford Lake,reservoir,2
Tennessee,11,Celina,Dale Hollow Lake,reservoir,2
Tennessee,12,Butler,Watauga Lake,reservoir,2
Tennessee,13,Rock Island,Caney Fork River,river,2
Tennessee,14,Hartford,Pigeon River,river,2
Tennessee,15,Nashville,Cumberland River,river,2
Tennessee,16,Memphis,Mississippi River,river,2
Tennessee,17,Clarksville,Cumberland River,river,3
Tennessee,18,Camden,Kentucky Lake,reservoir,3
Tennessee,19,Kingston,Watts Bar Lake,reservoir,3
Tennessee,20,Loudon,Tennessee River,river,3
Tennessee,21,Hendersonville,Old Hickory Lake,reservoir,3
Tennessee,22,Granville,Cordell Hull Lake,reservoir,3
Tennessee,23,Byrdstown,Dale Hollow Lake,reservoir,3
Tennessee,24,Elizabethton,Watauga River,river,3
Tennessee,25,Erwin,Nolichucky River,river,3
Kentucky,1,Paducah,Ohio River,river,1
Kentucky,2,Grand Rivers,Kentucky Lake,reservoir,2
Kentucky,3,Cadiz,Lake Barkley,reservoir,2
Kentucky,4,Jamestown,Lake Cumberland,reservoir,2
Kentucky,5,Somerset,Lake Cumberland,reservoir,2
Kentucky,6,Burnside,Lake Cumberland,reservoir,2
Kentucky,7,Gilbertsville,Kentucky Lake,reservoir,2
Kentucky,8,Morehead,Cave Run Lake,reservoir,2
Kentucky,9,Brownsville,Green River,river,2
Kentucky,10,Frankfort,Kentucky River,river,2
Kentucky,11,Carrollton,Ohio River,river,2
Kentucky,12,Augusta,Ohio River,river,2
Kentucky,13,Maysville,Ohio River,river,2
Kentucky,14,Covington,Ohio River,river,2
Kentucky,15,Louisville,Ohio River,river,2
Kentucky,16,Owensboro,Ohio River,river,2
Kentucky,17,Kuttawa,Lake Barkley,reservoir,3
Kentucky,18,Eddyville,Lake Barkley,reservoir,3
Kentucky,19,Aurora,Kentucky Lake,reservoir,3
Kentucky,20,Monticello,Lake Cumberland,reservoir,3
Kentucky,21,Albany,Dale Hollow Lake,reservoir,3
Kentucky,22,Campbellsville,Green River Lake,reservoir,3
Kentucky,23,Glasgow,Barren River Lake,reservoir,3
Kentucky,24,Leitchfield,Rough River Lake,reservoir,3
Kentucky,25,Harrodsburg,Herrington Lake,reservoir,3
Missouri,1,Branson,Table Rock Lake,reservoir,1
Missouri,2,Osage Beach,Lake of the Ozarks,reservoir,1
Missouri,3,Lake Ozark,Lake of the Ozarks,reservoir,1
Missouri,4,Hannibal,Mississippi River,river,1
Missouri,5,St. Charles,Missouri River,river,2
Missouri,6,Camdenton,Lake of the Ozarks,reservoir,2
Missouri,7,Kimberling City,Table Rock Lake,reservoir,2
Missouri,8,Ste. Genevieve,Mississippi River,river,2
Missouri,9,Hermann,Missouri River,river,2
Missouri,10,Rocheport,Missouri River,river,2
Missouri,11,Weston,Missouri River,river,2
Missouri,12,Cape Girardeau,Mississippi River,river,2
Missouri,13,Van Buren,Current River,river,2
Missouri,14,Eminence,Jacks Fork River,river,2
Missouri,15,Steelville,Meramec River,river,2
Missouri,16,Lebanon,Niangua River,river,2
Missouri,17,Warsaw,Truman Lake,reservoir,2
Missouri,18,Sunrise Beach,Lake of the Ozarks,reservoir,3
Missouri,19,Hollister,Lake Taneycomo,reservoir,3
Missouri,20,Rockaway Beach,Lake Taneycomo,reservoir,3
Missouri,21,Shell Knob,Table Rock Lake,reservoir,3
Missouri,22,Stockton,Stockton Lake,reservoir,3
Missouri,23,Clarksville,Mississippi River,river,3
Missouri,24,Parkville,Missouri River,river,3
Missouri,25,Washington,Missouri River,river,3
Kansas,1,Lawrence,Kansas River,river,2
Kansas,2,Manhattan,Tuttle Creek Lake,reservoir,2
Kansas,3,Wichita,Arkansas River,river,2
Kansas,4,Council Grove,Council Grove Lake,reservoir,2
Kansas,5,Atchison,Missouri River,river,2
Kansas,6,Wilson,Wilson Lake,reservoir,2
Kansas,7,Junction City,Milford Lake,reservoir,3
Kansas,8,Milford,Milford Lake,reservoir,3
Kansas,9,Wamego,Kansas River,river,3
Kansas,10,Marion,Marion Reservoir,reservoir,3
Kansas,11,Hillsboro,Marion Reservoir,reservoir,3
Kansas,12,El Dorado,El Dorado Lake,reservoir,3
Kansas,13,Winfield,Walnut River,river,3
Kansas,14,Arkansas City,Arkansas River,river,3
Kansas,15,Independence,Elk City Lake,reservoir,3
Kansas,16,Toronto,Toronto Lake,reservoir,3
Kansas,17,Fall River,Fall River Lake,reservoir,3
Kansas,18,Burlington,John Redmond Reservoir,reservoir,3
Kansas,19,Emporia,Neosho River,river,3
Kansas,20,Melvern,Melvern Lake,reservoir,3
Kansas,21,Pomona,Pomona Lake,reservoir,3
Kansas,22,Ottawa,Marais des Cygnes River,river,3
Kansas,23,Perry,Perry Lake,reservoir,3
Kansas,24,Leavenworth,Missouri River,river,3
Kansas,25,Great Bend,Arkansas River,river,3
Nebraska,1,Ogallala,Lake McConaughy,reservoir,2
Nebraska,2,Valentine,Niobrara River,river,2
Nebraska,3,Omaha,Missouri River,river,2
Nebraska,4,Nebraska City,Missouri River,river,2
Nebraska,5,Brownville,Missouri River,river,2
Nebraska,6,Ashland,Platte River,river,2
Nebraska,7,Lewellen,Lake McConaughy,reservoir,3
Nebraska,8,Niobrara,Missouri River,river,3
Nebraska,9,Crofton,Lewis and Clark Lake,reservoir,3
Nebraska,10,South Sioux City,Missouri River,river,3
Nebraska,11,Ponca,Missouri River,river,3
Nebraska,12,Bellevue,Missouri River,river,3
Nebraska,13,Plattsmouth,Missouri River,river,3
Nebraska,14,Louisville,Platte River,river,3
Nebraska,15,Fremont,Fremont Lakes,lake,3
Nebraska,16,Columbus,Loup River,river,3
Nebraska,17,North Platte,North Platte River,river,3
Nebraska,18,Kearney,Platte River,river,3
Nebraska,19,Grand Island,Platte River,river,3
Nebraska,20,Burwell,Calamus Reservoir,reservoir,3
Nebraska,21,Elwood,Johnson Lake,reservoir,3
Nebraska,22,Gothenburg,Platte River,river,3
Nebraska,23,Crawford,White River,river,3
Nebraska,24,Blair,Missouri River,river,3
Nebraska,25,Valley,Platte River,river,3
Iowa,1,Arnolds Park,West Lake Okoboji,lake,1
Iowa,2,Okoboji,East Lake Okoboji,lake,1
Iowa,3,Spirit Lake,Big Spirit Lake,lake,2
Iowa,4,Clear Lake,Clear Lake,lake,2
Iowa,5,Dubuque,Mississippi River,river,2
Iowa,6,Le Claire,Mississippi River,river,2
Iowa,7,McGregor,Mississippi River,river,2
Iowa,8,Guttenberg,Mississippi River,river,2
Iowa,9,Bellevue,Mississippi River,river,2
Iowa,10,Lansing,Mississippi River,river,2
Iowa,11,Marquette,Mississippi River,river,2
Iowa,12,Davenport,Mississippi River,river,2
Iowa,13,Pella,Lake Red Rock,reservoir,2
Iowa,14,West Okoboji,West Lake Okoboji,lake,2
Iowa,15,Storm Lake,Storm Lake,lake,3
Iowa,16,Clinton,Mississippi River,river,3
Iowa,17,Muscatine,Mississippi River,river,3
Iowa,18,Burlington,Mississippi River,river,3
Iowa,19,Fort Madison,Mississippi River,river,3
Iowa,20,Keokuk,Mississippi River,river,3
Iowa,21,Coralville,Coralville Lake,reservoir,3
Iowa,22,Polk City,Saylorville Lake,reservoir,3
Iowa,23,Sioux City,Missouri River,river,3
Iowa,24,Council Bluffs,Missouri River,river,3
Iowa,25,Lake View,Black Hawk Lake,lake,3
Illinois,1,Chicago,Lake Michigan,great_lake,1
Illinois,2,Galena,Galena River,river,1
Illinois,3,Grafton,Mississippi River,river,2
Illinois,4,Ottawa,Illinois River,river,2
Illinois,5,Utica,Illinois River,river,2
Illinois,6,Alton,Mississippi River,river,2
Illinois,7,Nauvoo,Mississippi River,river,2
Illinois,8,Quincy,Mississippi River,river,2
Illinois,9,Evanston,Lake Michigan,great_lake,2
Illinois,10,Lake Forest,Lake Michigan,great_lake,2
Illinois,11,McHenry,Fox River,river,2
Illinois,12,Antioch,Chain O'Lakes,lake,2
Illinois,13,Fox Lake,Chain O'Lakes,lake,2
Illinois,14,Moline,Mississippi River,river,2
Illinois,15,Rock Island,Mississippi River,river,2
Illinois,16,Peoria,Illinois River,river,2
Illinois,17,Elsah,Mississippi River,river,3
Illinois,18,Savanna,Mississippi River,river,3
Illinois,19,Fulton,Mississippi River,river,3
Illinois,20,Havana,Illinois River,river,3
Illinois,21,Hardin,Illinois River,river,3
Illinois,22,Morris,Illinois River,river,3
Illinois,23,Wilmette,Lake Michigan,great_lake,3
Illinois,24,Winnetka,Lake Michigan,great_lake,3
Illinois,25,Crystal Lake,Crystal Lake,lake,3
Indiana,1,Madison,Ohio River,river,1
Indiana,2,Michigan City,Lake Michigan,great_lake,2
Indiana,3,Chesterton,Lake Michigan,great_lake,2
Indiana,4,Syracuse,Lake Wawasee,lake,2
Indiana,5,Culver,Lake Maxinkuckee,lake,2
Indiana,6,Monticello,Lake Shafer,reservoir,2
Indiana,7,Bloomington,Lake Monroe,reservoir,2
Indiana,8,Angola,Lake James,lake,2
Indiana,9,Winona Lake,Winona Lake,lake,2
Indiana,10,Newburgh,Ohio River,river,2
Indiana,11,Jeffersonville,Ohio River,river,2
Indiana,12,Aurora,Ohio River,river,3
Indiana,13,Rising Sun,Ohio River,river,3
Indiana,14,Vevay,Ohio River,river,3
Indiana,15,New Albany,Ohio River,river,3
Indiana,16,Evansville,Ohio River,river,3
Indiana,17,Porter,Lake Michigan,great_lake,3
Indiana,18,Beverly Shores,Lake Michigan,great_lake,3
Indiana,19,Whiting,Lake Michigan,great_lake,3
Indiana,20,North Webster,Webster Lake,lake,3
Indiana,21,Rome City,Sylvan Lake,lake,3
Indiana,22,Cicero,Morse Reservoir,reservoir,3
Indiana,23,Lafayette,Wabash River,river,3
Indiana,24,Logansport,Wabash River,river,3
Indiana,25,Wabash,Wabash River,river,3
Ohio,1,Put-in-Bay,Lake Erie,great_lake,1
Ohio,2,Kelleys Island,Lake Erie,great_lake,1
Ohio,3,Sandusky,Lake Erie,great_lake,1
Ohio,4,Geneva-on-the-Lake,Lake Erie,great_lake,2
Ohio,5,Marblehead,Lake Erie,great_lake,2
Ohio,6,Lakeside,Lake Erie,great_lake,2
Ohio,7,Port Clinton,Lake Erie,great_lake,2
Ohio,8,Vermilion,Lake Erie,great_lake,2
Ohio,9,Marietta,Ohio River,river,2
Ohio,10,Cleveland,Lake Erie,great_lake,2
Ohio,11,Cincinnati,Ohio River,river,2
Ohio,12,Loudonville,Mohican River,river,2
Ohio,13,Ashtabula,Lake Erie,great_lake,2
Ohio,14,Buckeye Lake,Buckeye Lake,reservoir,2
Ohio,15,Russells Point,Indian Lake,reservoir,2
Ohio,16,Huron,Lake Erie,great_lake,3
Ohio,17,Conneaut,Lake Erie,great_lake,3
Ohio,18,Lakewood,Lake Erie,great_lake,3
Ohio,19,Rocky River,Lake Erie,great_lake,3
Ohio,20,Toledo,Maumee River,river,3
Ohio,21,Celina,Grand Lake St. Marys,reservoir,3
Ohio,22,Gallipolis,Ohio River,river,3
Ohio,23,Portsmouth,Ohio River,river,3
Ohio,24,Ripley,Ohio River,river,3
Ohio,25,New Richmond,Ohio River,river,3
Michigan,1,Mackinac Island,Lake Huron,great_lake,1
Michigan,2,Traverse City,Grand Traverse Bay,great_lake,1
Michigan,3,Petoskey,Little Traverse Bay,great_lake,1
Michigan,4,Charlevoix,Lake Charlevoix,lake,1
Michigan,5,Harbor Springs,Little Traverse Bay,great_lake,1
Michigan,6,Grand Haven,Lake Michigan,great_lake,1
Michigan,7,Saugatuck,Kalamazoo Lake,lake,1
Michigan,8,Holland,Lake Macatawa,lake,1
Michigan,9,South Haven,Lake Michigan,great_lake,1
Michigan,10,St. Joseph,Lake Michigan,great_lake,1
Michigan,11,Leland,Lake Michigan,great_lake,1
Michigan,12,Glen Arbor,Lake Michigan,great_lake,1
Michigan,13,Ludington,Lake Michigan,great_lake,1
Michigan,14,Marquette,Lake Superior,great_lake,1
Michigan,15,Munising,Lake Superior,great_lake,1
Michigan,16,Copper Harbor,Lake Superior,great_lake,1
Michigan,17,Frankfort,Lake Michigan,great_lake,2
Michigan,18,Suttons Bay,Grand Traverse Bay,great_lake,2
Michigan,19,Elk Rapids,Grand Traverse Bay,great_lake,2
Michigan,20,Mackinaw City,Straits of Mackinac,great_lake,2
Michigan,21,St. Ignace,Straits of Mackinac,great_lake,2
Michigan,22,Alpena,Lake Huron,great_lake,2
Michigan,23,Port Austin,Lake Huron,great_lake,2
Michigan,24,Pentwater,Lake Michigan,great_lake,2
Michigan,25,New Buffalo,Lake Michigan,great_lake,2
Wisconsin,1,Fish Creek,Green Bay,great_lake,1
Wisconsin,2,Sister Bay,Green Bay,great_lake,1
Wisconsin,3,Ephraim,Green Bay,great_lake,1
Wisconsin,4,Egg Harbor,Green Bay,great_lake,1
Wisconsin,5,Sturgeon Bay,Sturgeon Bay,great_lake,1
Wisconsin,6,Bayfield,Lake Superior,great_lake,1
Wisconsin,7,Lake Geneva,Geneva Lake,lake,1
Wisconsin,8,Wisconsin Dells,Wisconsin River,river,1
Wisconsin,9,Minocqua,Lake Minocqua,lake,1
Wisconsin,10,Eagle River,Eagle River Chain of Lakes,lake,1
Wisconsin,11,Hayward,Lake Hayward,lake,2
Wisconsin,12,Elkhart Lake,Elkhart Lake,lake,2
Wisconsin,13,Baileys Harbor,Lake Michigan,great_lake,2
Wisconsin,14,La Pointe,Lake Superior,great_lake,2
Wisconsin,15,Green Lake,Green Lake,lake,2
Wisconsin,16,Washington Island,Lake Michigan,great_lake,2
Wisconsin,17,Ellison Bay,Green Bay,great_lake,2
Wisconsin,18,Port Washington,Lake Michigan,great_lake,2
Wisconsin,19,Sheboygan,Lake Michigan,great_lake,2
Wisconsin,20,Milwaukee,Lake Michigan,great_lake,2
Wisconsin,21,La Crosse,Mississippi River,river,2
Wisconsin,22,Pepin,Lake Pepin,lake,2
Wisconsin,23,Prairie du Chien,Mississippi River,river,2
Wisconsin,24,Oshkosh,Lake Winnebago,lake,2
Wisconsin,25,Williams Bay,Geneva Lake,lake,2
Minnesota,1,Duluth,Lake Superior,great_lake,1
Minnesota,2,Grand Marais,Lake Superior,great_lake,1
Minnesota,3,Ely,Shagawa Lake,lake,1
Minnesota,4,Stillwater,St. Croix River,river,1
Minnesota,5,Nisswa,Gull Lake,lake,2
Minnesota,6,Walker,Leech Lake,lake,2
Minnesota,7,Brainerd,Mississippi River,river,2
Minnesota,8,Two Harbors,Lake Superior,great_lake,2
Minnesota,9,Lutsen,Lake Superior,great_lake,2
Minnesota,10,Tofte,Lake Superior,great_lake,2
Minnesota,11,Ranier,Rainy Lake,lake,2
Minnesota,12,International Falls,Rainy Lake,lake,2
Minnesota,13,Crane Lake,Crane Lake,lake,2
Minnesota,14,Crosslake,Whitefish Chain of Lakes,lake,2
Minnesota,15,Detroit Lakes,Detroit Lake,lake,2
Minnesota,16,Alexandria,Lake Darling,lake,2
Minnesota,17,Park Rapids,Fish Hook River,river,2
Minnesota,18,Bemidji,Lake Bemidji,lake,2
Minnesota,19,Red Wing,Mississippi River,river,2
Minnesota,20,Wabasha,Mississippi River,river,2
Minnesota,21,Lake City,Lake Pepin,lake,2
Minnesota,22,Winona,Mississippi River,river,2
Minnesota,23,Excelsior,Lake Minnetonka,lake,2
Minnesota,24,Wayzata,Lake Minnetonka,lake,2
Minnesota,25,Grand Portage,Lake Superior,great_lake,2
North Dakota,1,Medora,Little Missouri River,river,1
North Dakota,2,Devils Lake,Devils Lake,lake,2
North Dakota,3,Garrison,Lake Sakakawea,reservoir,2
North Dakota,4,Bismarck,Missouri River,river,2
North Dakota,5,Bottineau,Lake Metigoshe,lake,2
North Dakota,6,Fargo,Red River of the North,river,2
North Dakota,7,Grand Forks,Red River of the North,river,2
North Dakota,8,Fort Ransom,Sheyenne River,river,3
North Dakota,9,Valley City,Sheyenne River,river,3
North Dakota,10,Mandan,Missouri River,river,3
North Dakota,11,Washburn,Missouri River,river,3
North Dakota,12,Stanton,Knife River,river,3
North Dakota,13,Pick City,Lake Sakakawea,reservoir,3
North Dakota,14,Riverdale,Lake Sakakawea,reservoir,3
North Dakota,15,New Town,Lake Sakakawea,reservoir,3
North Dakota,16,Williston,Missouri River,river,3
North Dakota,17,Watford City,Little Missouri River,river,3
North Dakota,18,Jamestown,Jamestown Reservoir,reservoir,3
North Dakota,19,Wahpeton,Red River of the North,river,3
North Dakota,20,Walhalla,Pembina River,river,3
North Dakota,21,Pembina,Red River of the North,river,3
North Dakota,22,Cavalier,Lake Renwick,reservoir,3
North Dakota,23,Fort Totten,Devils Lake,lake,3
North Dakota,24,Minnewaukan,Devils Lake,lake,3
North Dakota,25,Beulah,Lake Sakakawea,reservoir,3
South Dakota,1,Pierre,Missouri River,river,2
South Dakota,2,Chamberlain,Lake Francis Case,reservoir,2
South Dakota,3,Yankton,Lewis and Clark Lake,reservoir,2
South Dakota,4,Mobridge,Lake Oahe,reservoir,2
South Dakota,5,Spearfish,Spearfish Creek,river,2
South Dakota,6,Hot Springs,Fall River,river,2
South Dakota,7,Watertown,Lake Kampeska,lake,2
South Dakota,8,Sioux Falls,Big Sioux River,river,2
South Dakota,9,Fort Pierre,Missouri River,river,3
South Dakota,10,Oacoma,Lake Francis Case,reservoir,3
South Dakota,11,Vermillion,Missouri River,river,3
South Dakota,12,Springfield,Lewis and Clark Lake,reservoir,3
South Dakota,13,Pickstown,Lake Francis Case,reservoir,3
South Dakota,14,Platte,Lake Francis Case,reservoir,3
South Dakota,15,Akaska,Lake Oahe,reservoir,3
South Dakota,16,Gettysburg,Lake Oahe,reservoir,3
South Dakota,17,Rapid City,Rapid Creek,river,3
South Dakota,18,Belle Fourche,Belle Fourche River,river,3
South Dakota,19,Madison,Lake Madison,lake,3
South Dakota,20,Big Stone City,Big Stone Lake,lake,3
South Dakota,21,Milbank,Big Stone Lake,lake,3
South Dakota,22,Webster,Waubay Lakes,lake,3
South Dakota,23,Waubay,Waubay Lake,lake,3
South Dakota,24,Huron,James River,river,3
South Dakota,25,De Smet,Lake Thompson,lake,3
Montana,1,Whitefish,Whitefish Lake,lake,1
Montana,2,Bigfork,Flathead Lake,lake,1
Montana,3,Polson,Flathead Lake,lake,2
Montana,4,Lakeside,Flathead Lake,lake,2
Montana,5,Seeley Lake,Seeley Lake,lake,2
Montana,6,Missoula,Clark Fork River,river,2
Montana,7,Ennis,Madison River,river,2
Montana,8,Livingston,Yellowstone River,river,2
Montana,9,Gardiner,Yellowstone River,river,2
Montana,10,West Yellowstone,Hebgen Lake,reservoir,2
Montana,11,Big Sky,Gallatin River,river,2
Montana,12,Red Lodge,Rock Creek,river,2
Montana,13,Fort Benton,Missouri River,river,2
Montana,14,Fort Smith,Bighorn River,river,2
Montana,15,Somers,Flathead Lake,lake,3
Montana,16,Kalispell,Flathead River,river,3
Montana,17,Twin Bridges,Beaverhead River,river,3
Montana,18,Big Timber,Yellowstone River,river,3
Montana,19,Three Forks,Missouri River,river,3
Montana,20,Townsend,Canyon Ferry Lake,reservoir,3
Montana,21,Helena,Hauser Lake,reservoir,3
Montana,22,Great Falls,Missouri River,river,3
Montana,23,Fort Peck,Fort Peck Lake,reservoir,3
Montana,24,Thompson Falls,Clark Fork River,river,3
Montana,25,Libby,Lake Koocanusa,reservoir,3
Wyoming,1,Jackson,Snake River,river,1
Wyoming,2,Cody,Shoshone River,river,1
Wyoming,3,Dubois,Wind River,river,2
Wyoming,4,Thermopolis,Bighorn River,river,2
Wyoming,5,Saratoga,North Platte River,river,2
Wyoming,6,Lander,Popo Agie River,river,2
Wyoming,7,Pinedale,Fremont Lake,lake,2
Wyoming,8,Alpine,Palisades Reservoir,reservoir,2
Wyoming,9,Green River,Green River,river,2
Wyoming,10,Lovell,Bighorn Lake,reservoir,2
Wyoming,11,Alcova,Alcova Reservoir,reservoir,3
Wyoming,12,Casper,North Platte River,river,3
Wyoming,13,Buffalo,Clear Creek,river,3
Wyoming,14,Sheridan,Big Goose Creek,river,3
Wyoming,15,Guernsey,Guernsey Reservoir,reservoir,3
Wyoming,16,Glendo,Glendo Reservoir,reservoir,3
Wyoming,17,Kemmerer,Hams Fork River,river,3
Wyoming,18,Afton,Salt River,river,3
Wyoming,19,Laramie,Laramie River,river,3
Wyoming,20,Encampment,Encampment River,river,3
Wyoming,21,Greybull,Bighorn River,river,3
Wyoming,22,Worland,Bighorn River,river,3
Wyoming,23,Riverton,Wind River,river,3
Wyoming,24,Ten Sleep,Ten Sleep Creek,river,3
Wyoming,25,Basin,Bighorn River,river,3
Colorado,1,Grand Lake,Grand Lake,lake,1
Colorado,2,Steamboat Springs,Yampa River,river,1
Colorado,3,Glenwood Springs,Colorado River,river,1
Colorado,4,Durango,Animas River,river,1
Colorado,5,Buena Vista,Arkansas River,river,1
Colorado,6,Salida,Arkansas River,river,1
Colorado,7,Pagosa Springs,San Juan River,river,1
Colorado,8,Frisco,Dillon Reservoir,reservoir,2
Colorado,9,Dillon,Dillon Reservoir,reservoir,2
Colorado,10,Estes Park,Lake Estes,reservoir,2
Colorado,11,Granby,Lake Granby,reservoir,2
Colorado,12,Palisade,Colorado River,river,2
Colorado,13,Gunnison,Gunnison River,river,2
Colorado,14,Golden,Clear Creek,river,2
Colorado,15,Ridgway,Uncompahgre River,river,2
Colorado,16,Canon City,Arkansas River,river,2
Colorado,17,Grand Junction,Colorado River,river,3
Colorado,18,Fruita,Colorado River,river,3
Colorado,19,Almont,Taylor River,river,3
Colorado,20,Crested Butte,Slate River,river,3
Colorado,21,Fort Collins,Horsetooth Reservoir,reservoir,3
Colorado,22,Loveland,Lake Loveland,reservoir,3
Colorado,23,Boulder,Boulder Creek,river,3
Colorado,24,Pueblo,Arkansas River,river,3
Colorado,25,Kremmling,Colorado River,river,3
New Mexico,1,Elephant Butte,Elephant Butte Reservoir,reservoir,2
New Mexico,2,Truth or Consequences,Rio Grande,river,2
New Mexico,3,Taos,Rio Grande,river,2
New Mexico,4,Red River,Red River,river,2
New Mexico,5,Eagle Nest,Eagle Nest Lake,lake,2
New Mexico,6,Abiquiu,Abiquiu Reservoir,reservoir,2
New Mexico,7,Navajo Dam,Navajo Lake,reservoir,2
New Mexico,8,Santa Rosa,Pecos River,river,2
New Mexico,9,Jemez Springs,Jemez River,river,2
New Mexico,10,Ruidoso,Rio Ruidoso,river,2
New Mexico,11,Carlsbad,Pecos River,river,2
New Mexico,12,Logan,Ute Lake,reservoir,2
New Mexico,13,Albuquerque,Rio Grande,river,2
New Mexico,14,Española,Rio Grande,river,3
New Mexico,15,Farmington,San Juan River,river,3
New Mexico,16,Aztec,Animas River,river,3
New Mexico,17,Conchas Dam,Conchas Lake,reservoir,3
New Mexico,18,Tucumcari,Tucumcari Lake,lake,3
New Mexico,19,Alto,Alto Lake,reservoir,3
New Mexico,20,Roswell,Bottomless Lakes,lake,3
New Mexico,21,Raton,Lake Maloya,reservoir,3
New Mexico,22,Cimarron,Cimarron River,river,3
New Mexico,23,Las Cruces,Rio Grande,river,3
New Mexico,24,Bernalillo,Rio Grande,river,3
New Mexico,25,Bloomfield,San Juan River,river,3
Arizona,1,Lake Havasu City,Lake Havasu,reservoir,1
Arizona,2,Page,Lake Powell,reservoir,1
Arizona,3,Sedona,Oak Creek,river,1
Arizona,4,Bullhead City,Colorado River,river,2
Arizona,5,Parker,Colorado River,river,2
Arizona,6,Yuma,Colorado River,river,2
Arizona,7,Tempe,Tempe Town Lake,reservoir,2
Arizona,8,Prescott,Watson Lake,reservoir,2
Arizona,9,Cottonwood,Verde River,river,2
Arizona,10,Pinetop-Lakeside,Rainbow Lake,lake,2
Arizona,11,Show Low,Fool Hollow Lake,reservoir,2
Arizona,12,Greer,Little Colorado River,river,2
Arizona,13,Payson,East Verde River,river,2
Arizona,14,Camp Verde,Verde River,river,3
Arizona,15,Clarkdale,Verde River,river,3
Arizona,16,Alpine,San Francisco River,river,3
